,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch
69,Cameron Payne,0.43396226415094336,18.3,0.4444444444444444,2.8529411764705883,31.0,4.47
70,Caris LeVert,0.4302325581395348,30.3,0.5294117647058824,2.257575757575758,38.4,3.63
71,Carlik Jones,1.0,0.0,0.7499999999999999,1.7499999999999998,57.1,4.72
72,Carmelo Anthony,0.5714285714285714,48.2,0.1804511278195489,0.21212121212121213,17.4,0.68
73,Carsen Edwards,0.6428571428571429,40.0,0.1724137931034483,0.9428571428571428,46.2,3.74
74,Cassius Stanley,0.6,60.0,0.5862068965517241,4.285714285714286,22.2,1.59
75,Cassius Winston,0.16666666666666669,50.0,0.2,2.857142857142857,71.4,3.71
76,Cat Barber,1.0,0.0,,3.2857142857142856,57.1,4.64
77,Cedi Osman,0.7333333333333334,68.9,0.31775700934579443,2.1875,43.6,1.65
78,Chandler Hutchison,0.5,100.0,0.5714285714285715,inf,66.7,1.41
79,Charles Bassey,0.7222222222222222,66.7,0.7999999999999999,0.0,100.0,0.61
80,Charlie Brown Jr.,0.75,44.4,0.7142857142857143,2.9999999999999996,0.0,0.67
81,Chaundee Brown Jr.,0.5454545454545454,50.0,0.1935483870967742,1.2857142857142858,33.3,0.93
82,Cheick Diallo,0.7407407407407407,33.3,0.5405405405405405,inf,0.0,0.77
83,Chimezie Metu,0.5675675675675675,74.0,0.47191011235955044,2.818181818181818,28.2,0.74
84,Chris Boucher,0.825,67.0,0.5106382978723405,1.2,11.4,0.48
85,Chris Chiozza,0.5714285714285715,14.3,0.2,5.2857142857142865,67.8,3.32
86,Chris Duarte,0.6590909090909091,47.7,0.3206106870229008,1.404255319148936,37.0,2.12
87,Chris Paul,0.13513513513513511,9.7,0.29931972789115646,1.4000000000000001,50.1,5.21
88,Chris Silva,0.7222222222222222,75.0,0.7692307692307692,,0.0,0.37
89,Christian Wood,0.676056338028169,60.5,0.49162011173184367,2.2,23.3,1.18
90,Chuma Okeke,0.625,53.1,0.27906976744186046,1.9375,47.0,1.48
91,Clint Capela,0.8271604938271605,76.5,0.882882882882883,inf,5.9,0.26
92,Coby White,0.638888888888889,42.0,0.2992125984251969,2.3793103448275863,42.6,3.1
93,Cody Martin,0.8125,63.6,0.49350649350649345,4.375,46.9,1.59
94,Cody Zeller,0.7741935483870969,72.5,0.6923076923076923,inf,27.8,0.63
95,Cole Anthony,0.48275862068965514,24.0,0.33128834355828224,2.0545454545454547,43.4,4.41
96,Collin Sexton,0.6075949367088607,42.1,0.575,3.257142857142857,34.4,3.66
97,Corey Kispert,0.6666666666666667,80.3,0.3658536585365854,1.7499999999999998,38.5,0.6
98,Cory Joseph,0.6206896551724137,41.6,0.375,3.7777777777777777,52.6,4.21
99,Craig Sword,1.0,100.0,1.0,inf,100.0,0.95
100,D'Angelo Russell,0.5,28.0,0.26519337016574585,0.8840579710144927,31.4,3.47
101,D.J. Augustin,0.6666666666666667,30.8,0.15094339622641512,2.6153846153846154,61.1,4.79
102,D.J. Wilson,0.5357142857142857,72.7,0.5866666666666667,0.6666666666666666,25.0,0.73
103,DaQuan Jeffries,1.0,100.0,1.4285714285714286,,0.0,1.13
104,Daishen Nix,0.7058823529411765,40.0,0.5625,7.2,53.5,3.8
105,Dakota Mathias,,0.0,0.0,0.0,0.0,1.62
106,Dalano Banton,0.65,32.9,0.625,3.125,50.6,2.95
107,Damian Jones,0.7567567567567568,79.4,0.6419753086419753,3.4999999999999996,21.1,0.46
108,Damian Lillard,0.8064516129032258,19.2,0.26666666666666666,1.4326923076923077,43.6,4.75
109,Damion Lee,0.6363636363636362,73.6,0.3783783783783784,2.3076923076923075,42.7,1.27
110,Damyean Dotson,0.5,50.0,0.5,1.5,0.0,1.38
111,Daniel Gafford,0.8181818181818182,73.7,0.851063829787234,inf,18.2,0.32
112,Daniel Oturu,0.7222222222222222,33.3,0.6666666666666666,inf,0.0,0.67
113,Daniel Theis,0.7352941176470589,79.7,0.5853658536585367,2.9999999999999996,34.6,0.32
114,Danilo Gallinari,0.5217391304347826,46.9,0.22222222222222224,0.8620689655172414,33.3,1.09
115,Danny Green,0.6666666666666666,87.0,0.1016949152542373,1.125,52.6,0.58
116,Danuel House Jr.,0.7499999999999999,75.0,0.23728813559322032,2.75,44.1,1.12
117,Darius Bazley,0.679245283018868,63.9,0.5,7.714285714285715,30.0,1.42
