,Player,Restricted Area Percentage
173,Elijah Hughes,0.4444444444444445
174,Emanuel Terry,0.5882352941176471
175,Emmanuel Mudiay,0.0
176,Enes Freedom,0.8
177,Eric Bledsoe,0.5952380952380952
178,Eric Gordon,0.6363636363636362
179,Eric Paschall,0.7142857142857143
180,Eugene Omoruyi,1.0
181,Evan Fournier,0.44827586206896547
182,Evan Mobley,0.5632183908045978
183,Facundo Campazzo,0.6428571428571429
184,Feron Hunt,1.0
185,Frank Jackson,0.5937499999999999
186,Frank Kaminsky,0.5357142857142857
187,Frank Ntilikina,0.3846153846153846
188,Franz Wagner,0.6
189,Fred VanVleet,0.48780487804878053
190,Freddie Gillespie,0.42857142857142855
191,Furkan Korkmaz,0.6
192,Gabe Vincent,0.65
193,Gabe York,0.0
194,Gabriel Deck,0.7
195,Gabriel Lundberg,0.7272727272727273
196,Garrett Temple,0.7142857142857143
197,Garrison Mathews,0.8
198,Gary Clark,0.6
199,Gary Harris,0.6551724137931034
200,Gary Payton II,0.78125
201,Gary Trent Jr.,0.4047619047619047
202,George Hill,0.6956521739130436
203,George King,1.0
204,Georges Niang,0.5238095238095238
205,Georgios Kalaitzakis,0.6969696969696969
206,Giannis Antetokounmpo,0.725
207,Goga Bitadze,0.7941176470588235
208,Goran Dragic,0.5483870967741936
209,Gordon Hayward,0.5689655172413793
210,Gorgui Dieng,0.6666666666666666
211,Grant Williams,0.65
212,Grayson Allen,0.625
213,Greg Brown III,0.8400000000000001
214,Greg Monroe,0.7692307692307693
215,Hamidou Diallo,0.6229508196721312
216,Harrison Barnes,0.5964912280701755
217,Hassan Whiteside,0.6734693877551019
218,Hassani Gravett,0.45454545454545453
219,Haywood Highsmith,0.7499999999999999
220,Herbert Jones,0.7391304347826088
221,Ignas Brazdeikis,0.6956521739130436
222,Immanuel Quickley,0.3225806451612903
223,Isaac Bonga,0.6666666666666666
224,Isaac Okoro,0.85
225,Isaiah Hartenstein,0.6122448979591836
226,Isaiah Jackson,0.8113207547169812
227,Isaiah Joe,0.6
228,Isaiah Livers,0.7499999999999999
229,Isaiah Roby,0.6382978723404255
230,Isaiah Stewart,0.8275862068965517
231,Isaiah Thomas,0.4444444444444444
232,Isaiah Todd,0.7142857142857143
233,Ish Smith,0.48387096774193544
234,Ish Wainright,0.7272727272727273
235,Ivica Zubac,0.65625
236,JT Thor,0.7142857142857143
237,Ja Morant,0.5302013422818792
238,JaMychal Green,0.8214285714285714
239,JaQuori McLaughlin,
240,JaVale McGee,0.6842105263157895
241,Jabari Parker,0.6666666666666666
